ServerID,CPU_Utilization_Pct,Memory_Utilization_Pct,Disk_IOPS,Network_Latency_MS,Active_Thread_Count,Error_Log_Rate_per_Min
SRV-7000,36.7,48.7,1173,14.4,166,0
SRV-7001,97.3,62.3,2221,347.0,1669,15
SRV-7002,30.0,61.8,1044,15.6,194,0
SRV-7003,39.2,36.6,821,24.0,221,0
SRV-7004,39.5,61.8,953,18.6,204,0
SRV-7005,40.7,47.4,798,19.3,161,0
SRV-7006,27.8,46.5,1036,15.4,171,1
SRV-7007,58.9,62.1,1198,24.4,181,0
SRV-7008,33.4,51.5,1595,16.9,163,0
SRV-7009,51.3,70.3,850,20.8,163,0
SRV-7010,37.1,48.4,1063,8.5,197,2
SRV-7011,37.4,57.3,17173,303.4,885,13
SRV-7012,47.3,56.7,1710,25.0,203,0
SRV-7013,34.4,48.9,748,12.0,181,0
SRV-7014,26.8,61.4,915,19.6,249,0
SRV-7015,25.9,48.1,1103,22.5,165,0
SRV-7016,53.1,61.2,1019,28.2,135,1
SRV-7017,31.7,58.0,1049,18.8,176,0
SRV-7018,40.8,55.9,1051,20.9,172,0
SRV-7019,38.8,57.3,1718,22.0,171,0
SRV-7020,39.5,65.4,1030,9.6,206,0
SRV-7021,33.6,57.6,1145,21.8,124,1
SRV-7022,33.2,57.3,1241,20.8,158,0
SRV-7023,38.0,60.1,1767,19.2,186,0
SRV-7024,31.1,48.5,1577,20.1,171,0
SRV-7025,50.3,52.8,955,16.7,189,0
SRV-7026,51.6,62.8,1546,22.5,139,0
SRV-7027,44.8,40.8,1574,21.1,178,0
SRV-7028,43.8,76.1,1149,18.7,224,1
SRV-7029,47.9,48.7,1317,26.0,213,0
SRV-7030,43.8,55.8,1177,21.6,243,0
SRV-7031,47.2,53.7,1093,14.5,138,0
SRV-7032,39.7,60.0,1517,15.2,142,0
SRV-7033,39.4,53.0,1131,7.7,178,1
SRV-7034,99.1,66.9,1830,190.2,1675,5
SRV-7035,34.0,53.7,1200,19.1,163,0
SRV-7036,43.5,56.6,1163,16.2,166,0
SRV-7037,67.7,46.1,1547,7.9,128,0
SRV-7038,29.6,52.3,1107,12.9,160,0
SRV-7039,38.4,54.4,1321,15.4,177,0
SRV-7040,42.3,60.8,917,16.4,192,0
SRV-7041,38.5,53.2,1403,14.7,185,0
SRV-7042,44.5,46.4,1353,20.9,172,0
SRV-7043,25.3,69.1,889,15.2,212,0
SRV-7044,24.5,44.8,1638,10.2,222,0
SRV-7045,51.7,54.8,1116,23.9,233,0
SRV-7046,48.7,56.4,1154,18.6,188,0
SRV-7047,25.7,59.4,1701,21.4,168,0
SRV-7048,47.3,57.0,1445,25.2,205,0
SRV-7049,40.4,61.5,1295,9.0,171,0
SRV-7050,52.0,99.5,937,235.6,977,54
SRV-7051,44.0,47.4,1858,20.5,184,0
SRV-7052,48.1,42.8,1198,15.9,137,0
SRV-7053,51.9,54.7,1642,16.0,225,0
SRV-7054,47.0,59.3,928,22.2,135,0
SRV-7055,53.4,54.4,1355,19.2,146,1
SRV-7056,50.2,59.9,1521,22.7,168,0
SRV-7057,48.3,58.4,1251,19.6,148,1
